Wavelength,R,G,B,C,M,Y
604,0.973105314988642,0.360660952855439,0.063123885654774,0.0931995579709272,0.00632484480728958,0.782469441908099
604.2,0.973087137840806,0.358318508953805,0.062918837566062,0.0930827644058177,0.00647910190079577,0.781209470268873
604.4,0.973008047562129,0.355983066871314,0.0627139549146057,0.0929693589830925,0.00663535990561551,0.779946720626215
604.6,0.97286884973606,0.353654831494037,0.0625092932895626,0.0928592955351289,0.0067935559939801,0.778681248028227
604.8,0.97267037007051,0.351334007615606,0.0623049085134718,0.0927525291567694,0.00695362772991693,0.777413106337964
605,0.972413453779183,0.349020799863565,0.062100856619869,0.0926490161931297,0.00711551310415161,0.776142348202746
605.2,0.972098964962902,0.34671541262573,0.0618971938309016,0.092548714227405,0.00727915056900923,0.774869025042745
605.4,0.971727785990944,0.344418049976536,0.0616939765349432,0.0924515820686783,0.00744447907331645,0.773593187040316
605.6,0.971300816882366,0.342128915603405,0.0614912612642093,0.0923575797397276,0.00761143809730284,0.772314883129324
605.8,0.970818974687341,0.339848212733087,0.0612891046723715,0.0922666684648326,0.00777996768750255,0.771034160984468
606,0.97028319286848,0.337576144058025,0.0610875635121728,0.0921788106575827,0.00795000849165621,0.769751067010618
606.2,0.969694420682169,0.335312911662704,0.0608866946130423,0.0920939699086837,0.00812150179361251,0.768465646332138
606.4,0.969053622559899,0.33305871695001,0.0606865548587106,0.0920121109737662,0.00829438954822986,0.767177942782213
606.6,0.968361777489589,0.330813760567581,0.060487201164824,0.0919331997611918,0.00846861441627798,0.76588799889218
606.8,0.967619878396928,0.328578242334167,0.0602886904565602,0.0918572033198611,0.00864411979933958,0.764595855880857
607,0.966828931526693,0.326352361165983,0.060091079646243,0.0917840898270208,0.00882084987471225,0.763301553643867
607.2,0.965989955824088,0.324136315003062,0.0598944256109568,0.091713828576071,0.00899874963030972,0.762005130742973
607.4,0.965103982316071,0.32193030073561,0.0596987851701619,0.0916463899643727,0.00917776489956411,0.760706624395401
607.6,0.964172053492682,0.319734514130366,0.0595042150633097,0.0915817454810252,0.00935784239632692,0.759406070463167
607.8,0.963195222688379,0.317549149756951,0.059310771927457,0.0915198676938607,0.00953892974953206,0.758103503442413
608,0.962174553463362,0.315374400914226,0.0591185122748816,0.0914607302344549,0.00972097553163613,0.756798956452728
