Wavelength,R,G,B
386.6,0.135079119883006,0.110704547443485,0.38233604046285
386.8,0.134833072334436,0.110479233181826,0.384121140359933
387,0.134581177056066,0.110245347572994,0.385905179145037
387.2,0.134323465008512,0.110002966681126,0.387688143766623
387.4,0.134059968455717,0.109752169158583,0.389470022216326
387.6,0.133790720947174,0.109493036213858,0.391250803481535
387.8,0.13351575730014,0.10922565157949,0.393030477497972
388,0.133235113581851,0.108950101479971,0.394809035102277
388.2,0.132948827091742,0.108666474599652,0.396586467984587
388.4,0.132656936343658,0.108374862050662,0.398362768641118
388.6,0.132359481048075,0.108075357340805,0.400137930326749
388.8,0.132056502094314,0.107768056341482,0.401911947007599
389,0.131748041532757,0.107453057255593,0.403684813313611
389.2,0.131434142557065,0.107130460585447,0.405456524491134
389.4,0.131114849486391,0.106800369100675,0.407227076355503
389.6,0.1307902077476,0.106462887806137,0.408996465243622
389.8,0.130460263857482,0.106118123909833,0.410764687966542
390,0.130125065404972,0.105766186790811,0.412531741762049
390.2,0.12978466103336,0.105407187967077,0.414297624247238
390.4,0.129439100422516,0.105041241063507,0.416062333371099
390.6,0.129088434271097,0.104668461779754,0.417825867367098
390.8,0.128732714278771,0.104288967858156,0.419588224705758
391,0.128371993128428,0.103902879051652,0.421349404047239
391.2,0.128006324468398,0.103510317091683,0.423109404193921
391.4,0.127635762894668,0.10311140565611,0.424868224042987
391.6,0.127260363933098,0.102706270337117,0.426625862539
391.8,0.126880184021636,0.102295038609124,0.428382318626489
392,0.126495280492534,0.101877839796697,0.430137591202528
392.2,0.126105711554568,0.101454805042454,0.431891679069318
392.4,0.125711536275249,0.101026067274978,0.433644580886768
392.6,0.125312814563043,0.100591761176728,0.435396295125079
392.8,0.124909607149585,0.100152023151942,0.437146820017321
393,0.124501975571898,0.0997069912945536,0.438896153512018
393.2,0.124089982154605,0.0992568053560983,0.440644293225728
393.4,0.12367368999215,0.0988016067136233,0.442391236395624
393.6,0.12325316293101,0.0983415383375967,0.44413697983208
393.8,0.122828465551913,0.0978767447598193,0.445881519871243
394,0.122399663152057,0.097407372041331,0.447624852327624
394.2,0.12196682172732,0.0969335677403229,0.449366972446677
394.4,0.121530007954483,0.0964554808800463,0.451107874857373
394.6,0.121089289173442,0.0959732619167212,0.452847553524793
394.8,0.120644733369423,0.0954870627074471,0.454586001702703
395,0.120196409155203,0.0949970364781123,0.456323211886135
395.2,0.119744385753324,0.0945033377913033,0.458059175763971
395.4,0.119288732978308,0.0940061225142142,0.459793884171523
395.6,0.118829521218873,0.0935055477865571,0.461527327043116
395.8,0.118366821420154,0.0930017719884707,0.463259493364665
396,0.117900705065911,0.0924949547084305,0.464990371126264
